feature_id,surface,handbook_contract,native_status,required_gate
AGI-ENTRY-001,AGI,"fn main() -> i32 and return 0",IMPLEMENTED,"parser+semantic+C codegen fixture"
AGI-FUNC-001,AGI,"functions, parameters, return values",PARTIAL,"default/untyped parameters, diagnostics parity"
AGI-TYPE-001,AGI,"i32 i64 u32 u64 f32 f64 bool string",IMPLEMENTED,"canonical aliases and coercion vectors"
AGI-COLL-001,AGI,"list literals and indexing",ABI_ONLY,"lexer+AST+parser+semantic+IR+codegen"
AGI-COLL-002,AGI,"map literals and string-key access",ABI_ONLY,"lexer+AST+parser+semantic+IR+codegen"
AGI-FLOW-001,AGI,"if/else if/else and comparisons",LEXER_PARTIAL,"AST+parser+semantic+IR+codegen"
AGI-FLOW-002,AGI,"for loops and while loops",LEXER_PARTIAL,"parser+iteration protocol+codegen"
AGI-MOD-001,AGI,"include(project-relative path)",PLANNED,"resolver+cycle detection+diagnostics"
AGI-WEB-001,AGI,"routes/controllers/services/models",FRAMEWORK_PARTIAL,"language bindings+generator+E2E"
AGI-AUTH-001,AGI,"registration/login/session/roles/CSRF/rate limit/audit",PROVIDER_PARTIAL,"persistent stores+cookies+MFA/OIDC+bindings"
AGS-TPL-001,AGS,"safe interpolation and semantic HTML",PLANNED,"AGS parser+escape-by-default renderer"
AGS-REACT-001,AGS,"state, events, forms, components",TEACHING_PATTERN,"directive spec+compiler+runtime+browser tests"
AI-LLM-001,AIFlow,"provider-neutral LLM invocation",PROVIDER_COMPLETE,"ABI+AGI std module+streaming+tests"
NET-HTTP-001,AGI,"HTTP/HTTPS/TLS clients",PROVIDER_COMPLETE,"ABI+AGI std module+server TLS"
EVM-RPC-001,EVM,"JSON-RPC chain and block queries",PROVIDER_COMPLETE,"ABI+AGI std module+signing policy+WS"
TOOL-CLI-001,CLI,"agi run/check/fmt/test/repl/new/serve",PARTIAL,"canonical command parity and exit codes"
