feature_id,category,canonical_symbol,canonical_location,native_location,lexer,parser,ast,types,semantic,ir,codegen,abi,stdlib,framework,cli,lsp,tests,status,notes
AGI-SYN-FUNCTION-001,syntax,fn,agilang/parser.py; agilang/translator.py,crates/agilang-parser,yes,yes,yes,partial,partial,partial,partial,n/a,n/a,n/a,partial,partial,partial,in-progress,Canonical differential comparison required
AGI-SYN-RETURN-001,syntax,return,agilang/parser.py; agilang/translator.py,crates/agilang-parser,yes,yes,yes,partial,partial,partial,partial,n/a,n/a,n/a,partial,partial,partial,in-progress,Return control-flow tests required
AGI-TYPE-I32-001,type,i32,agilang/translator.py; agilang/types.py,crates/agilang-types,yes,yes,yes,yes,yes,yes,yes,partial,n/a,n/a,partial,partial,partial,in-progress,Compiled process exit test required
AGI-COL-ARRAY-TYPE-001,collection,array,agilang/parser.py; agilang/translator.py,crates/agilang-types; crates/agilang-parser,n/a,partial,yes,yes,yes,yes,yes,yes,yes,n/a,partial,partial,yes,in-progress,The unparameterized array type is accepted now; generic array<T> parser syntax remains the next slice
AGI-COL-ARRAY-LITERAL-001,collection,[a b c],agilang/parser.py; agilang/translator.py,crates/agilang-lexer; crates/agilang-parser; crates/agilang-ast,yes,yes,yes,yes,yes,yes,yes,yes,n/a,n/a,partial,partial,yes,language-complete,Homogeneous numeric array literals compile through the current native list representation
AGI-COL-ARRAY-INDEX-001,collection,values[index],agilang/parser.py; agilang/translator.py,crates/agilang-parser; crates/agilang-semantic; crates/agilang-codegen-c,yes,yes,yes,yes,yes,yes,yes,yes,n/a,n/a,partial,partial,yes,language-complete,Integer indexing and indexed reads are implemented
AGI-COL-ARRAY-ASSIGN-001,collection,values[index] = value,agilang/parser.py; agilang/translator.py,crates/agilang-parser; crates/agilang-semantic; crates/agilang-codegen-c,yes,yes,yes,yes,yes,yes,yes,yes,n/a,n/a,partial,partial,yes,language-complete,Indexed mutation requires a mutable array symbol
AGI-COL-ARRAY-APPEND-001,collection,append(values value),agilang/parser.py; agilang/translator.py,crates/agilang-semantic; crates/agilang-codegen-c,n/a,yes,yes,yes,yes,yes,yes,yes,yes,n/a,partial,partial,yes,language-complete,append and method-call desugaring are implemented for numeric arrays
AGI-COL-ARRAY-LEN-001,collection,len(values),agilang/parser.py; agilang/translator.py,crates/agilang-semantic; crates/agilang-codegen-c,n/a,yes,yes,yes,yes,yes,yes,yes,yes,n/a,partial,partial,yes,language-complete,len returns i64
AGI-COL-ARRAY-ITERATE-001,collection,for value in values,agilang/parser.py; agilang/translator.py,crates/agilang-parser; crates/agilang-semantic; crates/agilang-codegen-c,yes,yes,yes,yes,partial,yes,yes,yes,n/a,n/a,partial,partial,yes,in-progress,Loop variable type inference should be tightened from unknown to the array element type
AGI-COL-ARRAY-NESTED-001,collection,nested arrays,agilang/parser.py; agilang/translator.py,crates/agilang-types; crates/agilang-codegen-c,yes,yes,yes,yes,partial,yes,partial,yes,n/a,n/a,partial,partial,partial,in-progress,Nested numeric arrays have a native representation but need broader differential fixtures
AGI-WEB-AUTH-001,framework,authentication,agilang/framework/auth.py; agilang/smart_chain_cli.py,crates/agilang-framework-auth,n/a,n/a,n/a,n/a,n/a,n/a,n/a,pending,pending,partial,pending,pending,partial,provider-complete,Argon2id and random session tokens exist; full flows pending
AGI-NET-HTTPS-001,network,https,agilang/runtime_http.py; agilang/http_query.py,crates/agilang-runtime-http,n/a,n/a,n/a,n/a,n/a,n/a,n/a,pending,pending,client-only,pending,pending,partial,provider-complete,Server TLS and language intrinsics pending
AGI-AI-LLM-001,ai,llm,agilang/llm.py; agilang/aiflow/transformer.py,crates/agilang-runtime-llm,n/a,n/a,n/a,n/a,n/a,n/a,n/a,pending,pending,pending,pending,pending,partial,provider-complete,Streaming tools ABI and stdlib pending
AGI-EVM-RPC-001,blockchain,evm rpc,agilang/evm.py; agilang/smart_chain_cli.py,crates/agilang-runtime-evm,n/a,n/a,n/a,n/a,n/a,n/a,n/a,pending,pending,pending,pending,pending,partial,provider-complete,Signing contracts subscriptions pending
